/film/mickey-17/, [2704, 6778, 7653, 33740, 55822, 183180, 282985, 375528, 114856, 92336]
/film/a-complete-unknown/, [1314, 3738, 4433, 23099, 40635, 139130, 184870, 231367, 68355, 62400]
/film/wallace-gromit-vengeance-most-fowl/, [241, 737, 766, 4236, 8166, 43723, 74627, 141084, 42592, 59078]
/film/beetlejuice-beetlejuice/, [4618, 11948, 12755, 51815, 73981, 215278, 192400, 171706, 35459, 53117]
/film/jackpot-2024/, [1454, 3204, 4095, 10738, 12927, 18695, 7768, 5214, 858, 1620]
/film/alien-romulus/, [2657, 6819, 7703, 31879, 48972, 160178, 224241, 310309, 90957, 76412]
/film/deadpool-wolverine/, [13750, 29357, 28287, 97041, 124184, 343877, 354455, 493110, 167163, 271280]
/film/inside-out-2-2024/, [4321, 12609, 12214, 69058, 93095, 369983, 392327, 585478, 161439, 256381]
/film/bad-boys-ride-or-die/, [1319, 3117, 3663, 12838, 18940, 51175, 45069, 38735, 7762, 12837]
/film/kingdom-of-the-planet-of-the-apes/, [1993, 5075, 5511, 23906, 38955, 124476, 144976, 122280, 21984, 18341]
/film/challengers/, [8231, 19567, 14608, 71271, 73192, 258518, 288246, 620650, 329232, 424004]
/film/ghostbusters-frozen-empire/, [3016, 8514, 11874, 36473, 41912, 59680, 28414, 19300, 3415, 6432]
/film/the-fall-guy-2024/, [3149, 8366, 9309, 37537, 57386, 172196, 205702, 207632, 51444, 63952]
/film/dune-part-two/, [3486, 7949, 4495, 25066, 26827, 120646, 160247, 534106, 509609, 981607]
/film/love-lies-bleeding-2024/, [2435, 5026, 5074, 20755, 30648, 94508, 127905, 162679, 48883, 48414]
/film/your-christmas-or-mine-2/, [157, 446, 686, 2004, 2349, 3328, 1184, 847, 121, 239]
/film/rebel-moon-part-one-a-child-of-fire/, [12901, 24136, 22036, 36311, 23363, 24266, 9943, 7868, 1345, 2784]
/film/wonka/, [13176, 32039, 23490, 95704, 103280, 296151, 242898, 267180, 60048, 93294]
/film/the-marvels/, [14730, 24058, 23011, 58676, 61773, 97896, 53348, 38075, 6586, 12141]
/film/five-nights-at-freddys/, [26600, 62834, 66380, 158304, 142198, 218483, 107431, 96576, 20768, 64145]
/film/the-creator-2023/, [1691, 4936, 6508, 25748, 40642, 99461, 97805, 84434, 21428, 20493]
/film/a-haunting-in-venice/, [1780, 5462, 7496, 30118, 46839, 110853, 73505, 44527, 7034, 8782]
/film/hit-man-2023/, [2737, 7371, 7308, 29813, 42232, 126633, 143744, 141027, 28063, 16078]
/film/all-of-us-strangers/, [1082, 2858, 2818, 13443, 18457, 63586, 92190, 188945, 94964, 110838]
/film/poor-things-2023/, [18034, 29408, 16670, 64330, 57957, 188010, 223011, 577133, 380049, 511989]
/film/ferrari-2023/, [1115, 3301, 4067, 17079, 25494, 59926, 50402, 40716, 8077, 5040]
/film/saltburn/, [21759, 49502, 38035, 159503, 161650, 491913, 422714, 625965, 178940, 278395]
/film/teenage-mutant-ninja-turtles-mutant-mayhem/, [769, 1659, 1919, 7563, 12914, 54118, 99080, 157762, 50535, 51710]
